Category,Count,Percentage
alternative_medicine,15,0.015302843268279246
playground,29,0.02958549698533988
theatre,206,0.21015904755103498
tree_services,27,0.02754511788290264
filipino_restaurant,61,0.0622315626243356
travel_agents,49,0.04998928800971221
sports_and_fitness_instruction,15,0.015302843268279246
junkyard,4,0.004080758204874466
sign_making,82,0.08365554319992655
salsa_club,1,0.0010201895512186164
auto_company,19,0.01938360147315371
hot_air_balloons_tour,2,0.002040379102437233
zoo,9,0.009181705960967547
asian_restaurant,60,0.061211373073116984
turkish_restaurant,31,0.03162587608777711
business_consulting,32,0.032646065638995726
record_label,20,0.020403791024372328
jet_skis_rental,3,0.0030605686536558496
automotive_dealer,34,0.03468644474143296
motorsports_store,4,0.004080758204874466
musical_instrument_store,87,0.08875649095601962
thrift_store,86,0.08773630140480101
boxing_class,27,0.02754511788290264
trophy_shop,9,0.009181705960967547
baptist_church,56,0.057130614868242516
korean_restaurant,144,0.14690729537548075
pet_boarding,37,0.037747013395088805
caribbean_restaurant,135,0.13772558941451324
dance_wear,8,0.008161516409748932
mediterranean_restaurant,87,0.08875649095601962
car_window_tinting,22,0.022444170126809562
glass_blowing,2,0.002040379102437233
limo_services,106,0.10814009242917334
audiovisual_equipment_rental,4,0.004080758204874466
organic_grocery_store,24,0.024484549229246796
animation_studio,3,0.0030605686536558496
venue_and_event_space,39,0.03978739249752604
rental_service,46,0.04692871935605636
business_to_business_services,91,0.0928372491608941
international_grocery_store,8,0.008161516409748932
candy_store,46,0.04692871935605636
elevator_service,11,0.011222085063404781
bubble_tea,182,0.1856744983217882
b2b_cleaning_and_waste_management,9,0.009181705960967547
videographer,19,0.01938360147315371
agricultural_cooperatives,9,0.009181705960967547
karate_club,2,0.002040379102437233
kitchen_and_bath,11,0.011222085063404781
private_school,28,0.028565307434121258
pawn_shop,24,0.024484549229246796
military_surplus_store,1,0.0010201895512186164
bridal_shop,93,0.09487762826333132
costume_store,19,0.01938360147315371
speakeasy,2,0.002040379102437233
sports_bar,27,0.02754511788290264
vocational_and_technical_school,46,0.04692871935605636
home_security,48,0.04896909845849359
video_game_store,45,0.04590852980483774
taco_restaurant,11,0.011222085063404781
agriculture_association,1,0.0010201895512186164
antique_store,75,0.07651421634139623
tobacco_shop,48,0.04896909845849359
immigration_and_naturalization,4,0.004080758204874466
jail_and_prison,3,0.0030605686536558496
telecommunications,37,0.037747013395088805
boat_service_and_repair,20,0.020403791024372328
golf_instructor,4,0.004080758204874466
copywriting_service,3,0.0030605686536558496
health_insurance_office,12,0.012242274614623398
excavation_service,11,0.011222085063404781
truck_gas_station,4,0.004080758204874466
portuguese_restaurant,39,0.03978739249752604
restaurant_equipment_and_supply,20,0.020403791024372328
plastic_fabrication_company,4,0.004080758204874466
diagnostic_services,20,0.020403791024372328
buffet_restaurant,8,0.008161516409748932
general_dentistry,57,0.05815080441946114
motorcycle_repair,21,0.021423980575590945
auto_glass_service,34,0.03468644474143296
auto_customization,23,0.02346435967802818
vehicle_shipping,5,0.005100947756093082
embassy,70,0.07141326858530316
auto_body_shop,33,0.033666255190214336
kitchen_remodeling,7,0.0071413268585303145
furniture_assembly,34,0.03468644474143296
energy_equipment_and_solution,16,0.016323032819497863
home_staging,13,0.013262464165842014
commercial_refrigeration,7,0.0071413268585303145
tax_services,42,0.04284796115118189
check_cashing_payday_loans,40,0.040807582048744656
cooking_school,25,0.02550473878046541
golf_cart_dealer,2,0.002040379102437233
wig_store,16,0.016323032819497863
patio_covers,18,0.018363411921935094
junk_removal_and_hauling,1,0.0010201895512186164
